,mag,place,time,updated,tz,url,detail,felt,cdi,mmi,alert,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,title,index,type,coordinates,index
0,2.02,Central California,1077867580840,1483764225211,,https://earthquake.usgs.gov/earthquakes/eventpage/nc21346460,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc21346460&format=geojson,,,,,automatic,0,63,nc,21346460,",nc21346460,",",nc,",",nearby-cities,origin,phase-data,",15,0.07027,0.1,72,md,earthquake,M 2.0 - Central California,49,Point,"[-121.0631667, 35.728, 5.26]",49
0,3.08,"1km NNE of Loma Linda, CA",1077867438440,1459556999263,,https://earthquake.usgs.gov/earthquakes/eventpage/ci9986677,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci9986677&format=geojson,330,4.2,,,reviewed,0,285,ci,9986677,",ci09986677,usp000cnfv,ci9986677,",",ci,us,ci,",",associate,dyfi,impact-text,nearby-cities,origin,phase-data,",108,,0.28,19,ml,earthquake,"M 3.1 - 1km NNE of Loma Linda, CA",50,Point,"[-117.2583333, 34.057, 10.202]",50
0,2,"Portland urban area, Oregon",1077865212930,1469239247220,,https://earthquake.usgs.gov/earthquakes/eventpage/uw10603518,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uw10603518&format=geojson,,,,,reviewed,0,62,uw,10603518,",uw10603518,",",uw,",",origin,phase-data,",43,0.07379,0.16,43,md,earthquake,"M 2.0 - Portland urban area, Oregon",51,Point,"[-122.7615, 45.648, 18.725]",51
0,2.16,Central California,1077861281120,1483764206880,,https://earthquake.usgs.gov/earthquakes/eventpage/nc21346448,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc21346448&format=geojson,,,,,reviewed,0,72,nc,21346448,",nc21346448,",",nc,",",focal-mechanism,nearby-cities,origin,phase-data,",49,0.08468,0.08,57,md,earthquake,M 2.2 - Central California,52,Point,"[-120.8026667, 35.5298333, 4.788]",52
0,2.57,Central California,1077856436370,1483764193250,,https://earthquake.usgs.gov/earthquakes/eventpage/nc21346438,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc21346438&format=geojson,,,,,reviewed,0,102,nc,21346438,",nc21346438,",",nc,",",focal-mechanism,nearby-cities,origin,phase-data,",57,0.07117,0.07,57,md,earthquake,M 2.6 - Central California,53,Point,"[-121.0731667, 35.7116667, 7.441]",53
0,2.22,"22km NW of Grapevine, CA",1077851418080,1459590351127,,https://earthquake.usgs.gov/earthquakes/eventpage/ci9986653,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci9986653&format=geojson,,,,,reviewed,0,76,ci,9986653,",ci9986653,",",ci,",",nearby-cities,origin,phase-data,",28,0.06807,0.33,63,ml,earthquake,"M 2.2 - 22km NW of Grapevine, CA",54,Point,"[-119.1073333, 35.078, 21.265]",54
0,2.68,"San Francisco Bay area, California",1077851158570,1483764178030,,https://earthquake.usgs.gov/earthquakes/eventpage/nc21346430,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc21346430&format=geojson,,,,,automatic,0,110,nc,21346430,",nc21346430,",",nc,",",focal-mechanism,nearby-cities,origin,phase-data,",59,0.0964,0.08,86,md,earthquake,"M 2.7 - San Francisco Bay area, California",55,Point,"[-121.943, 37.771, 9.667]",55
0,2.1,Central California,1077850452940,1483764170508,,https://earthquake.usgs.gov/earthquakes/eventpage/nc21346429,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc21346429&format=geojson,,,,,automatic,0,68,nc,21346429,",nc21346429,",",nc,",",nearby-cities,origin,phase-data,",25,0.05766,0.09,93,md,earthquake,M 2.1 - Central California,56,Point,"[-121.0756667, 35.656, 8.815]",56
0,2.65,Central California,1077848564940,1483764158730,,https://earthquake.usgs.gov/earthquakes/eventpage/nc21346428,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc21346428&format=geojson,,,,,automatic,0,108,nc,21346428,",nc21346428,",",nc,",",focal-mechanism,nearby-cities,origin,phase-data,",46,0.1261,0.12,58,md,earthquake,M 2.7 - Central California,57,Point,"[-120.7016667, 36.561, 11.106]",57
0,2.09,Central California,1077846557060,1483764153227,,https://earthquake.usgs.gov/earthquakes/eventpage/nc21346424,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc21346424&format=geojson,,,,,automatic,0,67,nc,21346424,",nc21346424,",",nc,",",nearby-cities,origin,phase-data,",28,0.07748,0.12,57,md,earthquake,M 2.1 - Central California,58,Point,"[-120.8218333, 35.5683333, 5.291]",58
