,mag,place,time,updated,tz,url,detail,felt,cdi,mmi,alert,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,title,index,type,coordinates,index
0,1.78,Northern California,624751399520,1481291508190,,https://earthquake.usgs.gov/earthquakes/eventpage/nc20091329,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc20091329&format=geojson,,,,,reviewed,0,49,nc,20091329,",nc20091329,",",nc,",",focal-mechanism,nearby-cities,origin,phase-data,",59,0.01802,0.05,48,md,earthquake,M 1.8 - Northern California,49,Point,"[-121.8046667, 37.0051667, 16.147]",49
0,2.48,Northern California,624751227880,1481291501843,,https://earthquake.usgs.gov/earthquakes/eventpage/nc1166866,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc1166866&format=geojson,,,,,reviewed,0,95,nc,1166866,",nc1166866,",",nc,",",nearby-cities,origin,phase-data,",17,0.04955,0.11,61,md,quarry blast,M 2.5 Quarry Blast - Northern California,50,Point,"[-122.3928333, 38.8305, -0.436]",50
0,1.71,Northern California,624751035190,1481291498224,,https://earthquake.usgs.gov/earthquakes/eventpage/nc1166865,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc1166865&format=geojson,,,,,reviewed,0,45,nc,1166865,",nc1166865,",",nc,",",nearby-cities,origin,phase-data,",8,0.01802,0.03,130,md,earthquake,M 1.7 - Northern California,51,Point,"[-121.7995, 37.025, 13.414]",51
0,1.15,Northern California,624750920730,1481291494666,,https://earthquake.usgs.gov/earthquakes/eventpage/nc1166864,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc1166864&format=geojson,,,,,reviewed,0,20,nc,1166864,",nc1166864,",",nc,",",nearby-cities,origin,phase-data,",6,0.05495,0.02,131,md,earthquake,M 1.2 - Northern California,52,Point,"[-121.8513333, 37.0668333, 9.271]",52
0,2.32,Central California,624750836800,1481291491057,,https://earthquake.usgs.gov/earthquakes/eventpage/nc1166863,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc1166863&format=geojson,,,,,reviewed,0,83,nc,1166863,",nc1166863,ci140150,",",nc,ci,",",nearby-cities,origin,phase-data,",14,0.06216,0.08,119,md,earthquake,M 2.3 - Central California,53,Point,"[-120.4275, 36.2953333, 7.761]",53
0,3.23,Central California,624750772980,1481291486010,,https://earthquake.usgs.gov/earthquakes/eventpage/nc1166862,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc1166862&format=geojson,,,,,reviewed,0,161,nc,1166862,",nc1166862,usp00040xm,ci1044348,",",nc,us,ci,",",focal-mechanism,nearby-cities,origin,phase-data,",42,0.06216,0.11,122,md,earthquake,M 3.2 - Central California,54,Point,"[-120.43, 36.2971667, 8.688]",54
0,3.1,Northern California,624750714430,1481291475660,,https://earthquake.usgs.gov/earthquakes/eventpage/nc20091324,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc20091324&format=geojson,,,,,reviewed,0,148,nc,20091324,",nc20091324,usp00040xk,",",nc,us,",",focal-mechanism,nearby-cities,origin,phase-data,",58,0.06847,0.09,53,ml,earthquake,M 3.1 - Northern California,55,Point,"[-121.926, 37.1015, 9.761]",55
0,1.89,Northern California,624750501600,1481291467460,,https://earthquake.usgs.gov/earthquakes/eventpage/nc20091323,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc20091323&format=geojson,,,,,reviewed,0,55,nc,20091323,",nc20091323,",",nc,",",focal-mechanism,nearby-cities,origin,phase-data,",27,0.04775,0.05,65,md,earthquake,M 1.9 - Northern California,56,Point,"[-121.7686667, 36.9945, 14.197]",56
0,1.19,"San Francisco Bay area, California",624750156930,1481291455651,,https://earthquake.usgs.gov/earthquakes/eventpage/nc1166861,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc1166861&format=geojson,,,,,reviewed,0,22,nc,1166861,",nc1166861,",",nc,",",nearby-cities,origin,phase-data,",4,0.05315,0,166,md,earthquake,"M 1.2 - San Francisco Bay area, California",57,Point,"[-121.8445, 37.6773333, 4.44]",57
0,1.59,Northern California,624750141060,1481291452245,,https://earthquake.usgs.gov/earthquakes/eventpage/nc20091321,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc20091321&format=geojson,,,,,reviewed,0,39,nc,20091321,",nc20091321,",",nc,",",nearby-cities,origin,phase-data,",7,0.00991,0.04,126,md,earthquake,M 1.6 - Northern California,58,Point,"[-121.8005, 37.044, 0.905]",58
0,1.65,Northern California,624749917080,1481291445214,,https://earthquake.usgs.gov/earthquakes/eventpage/nc20091320,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc20091320&format=geojson,,,,,reviewed,0,42,nc,20091320,",nc20091320,",",nc,",",nearby-cities,origin,phase-data,",16,0.00991,0.06,63,md,earthquake,M 1.7 - Northern California,59,Point,"[-121.8191667, 37.058, 5.495]",59
0,2.39,Northern California,624749748060,1481291440190,,https://earthquake.usgs.gov/earthquakes/eventpage/nc20091319,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc20091319&format=geojson,,,,,reviewed,0,88,nc,20091319,",nc20091319,",",nc,",",focal-mechanism,nearby-cities,origin,phase-data,",46,0.05045,0.06,66,md,earthquake,M 2.4 - Northern California,60,Point,"[-121.9805, 37.1328333, 14.366]",60
0,1.91,Northern California,624749571260,1481291434422,,https://earthquake.usgs.gov/earthquakes/eventpage/nc20091318,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc20091318&format=geojson,,,,,reviewed,0,56,nc,20091318,",nc20091318,",",nc,",",nearby-cities,origin,phase-data,",21,0.03784,0.07,80,md,earthquake,M 1.9 - Northern California,61,Point,"[-121.7661667, 37.038, 2.259]",61
0,1.43,Northern California,624749368080,1481291430709,,https://earthquake.usgs.gov/earthquakes/eventpage/nc20091317,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc20091317&format=geojson,,,,,reviewed,0,31,nc,20091317,",nc20091317,",",nc,",",nearby-cities,origin,phase-data,",12,0.05315,0.02,143,md,earthquake,M 1.4 - Northern California,62,Point,"[-121.7406667, 36.991, 14.417]",62
