,index,type,time,mag,place,status,tsunami,sig,net,nst,dmin,rms,gap,magType,longitude,latitude,depth
157,157,earthquake,2004-09-28 19:38:19.430,1.06,Central California,automatic,0,17,nc,5,0.03243,0.01,217.0,md,-120.4756667,35.928,4.201
158,158,earthquake,2004-09-28 19:36:10.490,1.84,Central California,automatic,0,52,nc,20,0.03063,0.04,62.0,md,-120.4765,35.9313333,4.881
159,159,earthquake,2004-09-28 19:35:13.870,1.12,Central California,automatic,0,19,nc,7,0.01441,0.02,120.0,md,-120.4176667,35.8756667,5.507
160,160,earthquake,2004-09-28 19:33:57.970,2.07,Central California,automatic,0,66,nc,24,0.019819999999999997,0.04,51.0,md,-120.4168333,35.8665,4.356
161,161,earthquake,2004-09-28 19:31:27.810,4.03,Central California,reviewed,0,250,nc,63,0.009009,0.03,33.0,mw,-120.388,35.8385,8.683
162,162,earthquake,2004-09-28 19:30:52.090,1.1,Central California,automatic,0,19,nc,6,0.02072,0.0,114.0,md,-120.4238333,35.8725,4.524
163,163,earthquake,2004-09-28 19:26:10.260,1.99,Central California,automatic,0,61,nc,21,0.03784,0.05,61.0,md,-120.4733333,35.9248333,5.001
164,164,earthquake,2004-09-28 19:26:05.810,2.26,Central California,reviewed,0,79,nc,20,0.01712,0.04,96.0,md,-120.4758333,35.9255,4.874
165,165,earthquake,2004-09-28 19:23:51.810,2.35,Central California,reviewed,0,85,nc,24,0.03063,0.03,92.0,md,-120.3898333,35.8406667,8.576
166,166,earthquake,2004-09-28 19:23:39.430,3.06,Central California,automatic,0,144,nc,47,0.01712,0.05,28.0,ml,-120.3801667,35.8285,5.993
167,167,earthquake,2004-09-28 19:21:27.280,1.31,Central California,automatic,0,26,nc,14,0.01892,0.02,78.0,md,-120.4033333,35.8546667,4.616
168,168,earthquake,2004-09-28 19:18:57.930,1.32,Central California,automatic,0,27,nc,11,0.019819999999999997,0.01,80.0,md,-120.4073333,35.8621667,4.705
169,169,earthquake,2004-09-28 19:18:04.270,1.3,Central California,automatic,0,26,nc,10,0.01351,0.01,93.0,md,-120.3955,35.8495,5.433
170,170,earthquake,2004-09-28 19:17:15.910,1.13,Central California,automatic,0,20,nc,7,0.03874,0.01,161.0,md,-120.4686667,35.9228333,4.871
171,171,earthquake,2004-09-28 19:16:17.650,1.43,Central California,automatic,0,31,nc,10,0.03063,0.02,123.0,md,-120.477,35.931,5.689
172,172,earthquake,2004-09-28 19:13:58.270,1.35,Central California,automatic,0,28,nc,5,0.01892,0.01,179.0,md,-120.4231667,35.8741667,4.33
173,173,earthquake,2004-09-28 19:13:34.010,2.36,Central California,automatic,0,86,nc,13,0.01712,0.03,88.0,md,-120.4146667,35.8678333,4.816
174,174,earthquake,2004-09-28 19:12:44.530,1.94,Central California,automatic,0,58,nc,22,0.01622,0.03,52.0,md,-120.3716667,35.8243333,6.108
175,175,earthquake,2004-09-28 19:11:06.010,1.39,Central California,automatic,0,30,nc,11,0.01892,0.01,75.0,md,-120.4066667,35.8628333,4.056
